T(°C),cp (j-kg-k)
292.4313953,1499.114391
299.4081395,1501.03321
307.0825581,1502.066421
313.3616279,1503.099631
321.0360465,1503.98524
327.3151163,1505.01845
334.2918605,1505.904059
341.9662791,1506.937269
348.9430233,1508.118081
355.9197674,1509.00369
362.1988372,1509.889299
369.8732558,1510.922509
376.1523256,1511.95572
383.1290698,1512.841328
390.105814,1513.874539
397.7802326,1514.907749
404.7569767,1515.793358
411.0360465,1517.859779
418.0127907,1518.892989
425.6872093,1519.778598
433.3616279,1520.811808
440.3383721,1521.697417
445.9197674,1522.730627
453.594186,1523.763838
459.8732558,1525.830258
467.5476744,1527.896679
475.222093,1529.9631
481.5011628,1531.881919
488.477907,1532.767528
495.4546512,1534.833948
502.4313953,1535.719557
510.105814,1536.900369
517.7802326,1538.081181
524.0593023,1538.819188
530.3383721,1539.852399
537.3151163,1540.885609
544.9895349,1541.771218
551.2686047,1542.804428
558.9430233,1543.837638
566.6174419,1544.870849
